layer,model,observation_regime,orientation,replicate,split_seed,strong_latent_truth_geometry_gain_pct,paired_null_latent_truth_geometry_gain_pct,strong_minus_paired_null_latent_truth_geometry_gain_pct,strong_predictive_set_gain_pct,paired_null_predictive_set_gain_pct,strong_minus_paired_null_predictive_set_gain_pct,strong_observed_map_error_gain_pct,paired_null_observed_map_error_gain_pct,strong_minus_paired_null_observed_map_error_gain_pct,strong_geometry_latent_truth_coverage,paired_null_geometry_latent_truth_coverage,strong_minus_paired_null_geometry_latent_truth_coverage,strong_world0_latent_truth_coverage,paired_null_world0_latent_truth_coverage,strong_minus_paired_null_world0_latent_truth_coverage,strong_geometry_set_diameter,paired_null_geometry_set_diameter,strong_minus_paired_null_geometry_set_diameter,strong_world0_set_diameter,paired_null_world0_set_diameter,strong_minus_paired_null_world0_set_diameter,strong_geometry_latent_truth_error,paired_null_geometry_latent_truth_error,strong_minus_paired_null_geometry_latent_truth_error,strong_world0_latent_truth_error,paired_null_world0_latent_truth_error,strong_minus_paired_null_world0_latent_truth_error
A0_REF,ORACLE,O2,AB,4,9042104,7.948865328926794,-0.626901413650428,8.575766742577223,8.41269755813061,0.7559535452712589,7.656744012859351,7.948865328926794,-0.626901413650428,8.575766742577223,0.9375,0.9375,0.0,0.9375,0.9375,0.0,84.66489836047782,402.78000204000114,-318.1151036795233,92.44174258130899,405.8480245701526,-313.4062819888436,20.62901733955858,155.41815632299426,-134.7891389834357,22.41038897920417,154.44990766843904,-132.03951868923485
A0_REF,ORACLE,O2,AB,5,9042105,-4.515473056164989,-0.7259338177271845,-3.7895392384378046,14.248770596564457,0.6652237974442362,13.58354679912022,-4.515473056164989,-0.7259338177271845,-3.7895392384378046,0.875,0.9375,-0.0625,1.0,0.9375,0.0625,72.57757351787421,411.8489994996788,-339.2714259818046,84.63735624875655,414.607064357671,-329.96970810891446,19.98283309069899,149.38640722090716,-129.40357413020817,19.119497339844145,148.30977639903102,-129.19027905918688
A0_REF,ORACLE,O2,BA,1,9042101,4.992815506781483,-1.0611817430399872,6.05399724982147,6.663636177204217,0.8657599999049954,5.797876177299221,4.992815506781483,-1.0611817430399872,6.05399724982147,0.875,0.875,0.0,1.0,0.875,0.125,67.18970336312084,378.9475570518916,-311.75785368877075,71.98663051700213,382.2569851259549,-310.27035460895274,19.693308744334487,139.22108274756596,-119.52777400323147,20.728231079977082,137.7592071914932,-117.03097611151613
A0_REF,ORACLE,O2,BA,2,9042102,8.065535558467204,0.07903020637063185,7.986505352096572,8.08586458379958,-4.156639385155877,12.242503968955457,8.065535558467204,0.07903020637063185,7.986505352096572,1.0,0.875,0.125,1.0,0.8125,0.1875,85.05497499656848,417.98545132747984,-332.93047633091135,92.53742594806263,401.3046636247847,-308.76723767672206,20.42045531149509,155.14573904860794,-134.72528373711285,22.2119696193823,155.2684480235094,-133.0564784041271
A0_REF,ORACLE,O2,BA,3,9042103,0.20859516314453394,0.00927655422760851,0.19931860891692543,0.07061559824021799,0.8796376374226401,-0.8090220391824221,0.20859516314453394,0.00927655422760851,0.19931860891692543,0.9375,1.0,-0.0625,0.875,1.0,-0.125,84.57758907330678,410.9600245721678,-326.382435498861,84.63735624875655,414.607064357671,-329.96970810891446,22.808691696140915,140.3177104098721,-117.50901871373118,22.856368976295936,140.33072826597768,-117.47435928968174
A0_REF,ORACLE,O2,BA,4,9042104,7.948865328926794,-0.626901413650428,8.575766742577223,8.41269755813061,0.7559535452712589,7.656744012859351,7.948865328926794,-0.626901413650428,8.575766742577223,0.9375,0.9375,0.0,0.9375,0.9375,0.0,84.66489836047782,402.78000204000114,-318.1151036795233,92.44174258130899,405.8480245701526,-313.4062819888436,20.62901733955858,155.41815632299426,-134.7891389834357,22.41038897920417,154.44990766843904,-132.03951868923485
A0_REF,ORACLE,O2,BA,5,9042105,-4.515473056164989,-0.7259338177271845,-3.7895392384378046,14.248770596564457,0.6652237974442362,13.58354679912022,-4.515473056164989,-0.7259338177271845,-3.7895392384378046,0.875,0.9375,-0.0625,1.0,0.9375,0.0625,72.57757351787421,411.8489994996788,-339.2714259818046,84.63735624875655,414.607064357671,-329.96970810891446,19.98283309069899,149.38640722090716,-129.40357413020817,19.119497339844145,148.30977639903102,-129.19027905918688
A0_REF,ORACLE,O3,AB,1,9042101,4.992815506781483,-1.0611817430399872,6.05399724982147,6.663636177204217,0.8657599999049954,5.797876177299221,4.992815506781483,-1.0611817430399872,6.05399724982147,0.875,0.875,0.0,1.0,0.875,0.125,67.18970336312084,378.9475570518916,-311.75785368877075,71.98663051700213,382.2569851259549,-310.27035460895274,19.693308744334487,139.22108274756596,-119.52777400323147,20.728231079977082,137.7592071914932,-117.03097611151613
A0_REF,ORACLE,O3,AB,2,9042102,8.065535558467204,0.07903020637063185,7.986505352096572,8.08586458379958,-4.156639385155877,12.242503968955457,8.065535558467204,0.07903020637063185,7.986505352096572,1.0,0.875,0.125,1.0,0.8125,0.1875,85.05497499656848,417.98545132747984,-332.93047633091135,92.53742594806263,401.3046636247847,-308.76723767672206,20.42045531149509,155.14573904860794,-134.72528373711285,22.2119696193823,155.2684480235094,-133.0564784041271
A0_REF,ORACLE,O3,AB,3,9042103,0.20859516314453394,0.00927655422760851,0.19931860891692543,0.07061559824021799,0.8796376374226401,-0.8090220391824221,0.20859516314453394,0.00927655422760851,0.19931860891692543,0.9375,1.0,-0.0625,0.875,1.0,-0.125,84.57758907330678,410.9600245721678,-326.382435498861,84.63735624875655,414.607064357671,-329.96970810891446,22.808691696140915,140.3177104098721,-117.50901871373118,22.856368976295936,140.33072826597768,-117.47435928968174
A0_REF,ORACLE,O3,AB,4,9042104,7.948865328926794,-0.626901413650428,8.575766742577223,8.41269755813061,0.7559535452712589,7.656744012859351,7.948865328926794,-0.626901413650428,8.575766742577223,0.9375,0.9375,0.0,0.9375,0.9375,0.0,84.66489836047782,402.78000204000114,-318.1151036795233,92.44174258130899,405.8480245701526,-313.4062819888436,20.62901733955858,155.41815632299426,-134.7891389834357,22.41038897920417,154.44990766843904,-132.03951868923485
A0_REF,ORACLE,O3,AB,5,9042105,-4.515473056164989,-0.7259338177271845,-3.7895392384378046,14.248770596564457,0.6652237974442362,13.58354679912022,-4.515473056164989,-0.7259338177271845,-3.7895392384378046,0.875,0.9375,-0.0625,1.0,0.9375,0.0625,72.57757351787421,411.8489994996788,-339.2714259818046,84.63735624875655,414.607064357671,-329.96970810891446,19.98283309069899,149.38640722090716,-129.40357413020817,19.119497339844145,148.30977639903102,-129.19027905918688
A0_REF,ORACLE,O3,BA,1,9042101,4.992815506781483,-1.0611817430399872,6.05399724982147,6.663636177204217,0.8657599999049954,5.797876177299221,4.992815506781483,-1.0611817430399872,6.05399724982147,0.875,0.875,0.0,1.0,0.875,0.125,67.18970336312084,378.9475570518916,-311.75785368877075,71.98663051700213,382.2569851259549,-310.27035460895274,19.693308744334487,139.22108274756596,-119.52777400323147,20.728231079977082,137.7592071914932,-117.03097611151613
